Name,Sparse Pattern,Sparse Block Ratio,Sparse Ratio,MACs,CPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
Concat_1041,1x1,0.00%,0.00%,0,0.00%,819200,0.09%,0,0.00%,1x256x20x20,1x512x20x20
QuantizeLinear_1044,1x1,0.00%,0.00%,409600,0.00%,819200,0.09%,0,0.00%,1x512x20x20,1x512x20x20
Conv_1054_quant,4x1,66.20%,66.20%,105062400,1.19%,1869824,0.21%,262656,3.61%,1x512x20x20,1x512x20x20
DequantizeLinear_1062,1x1,0.00%,0.00%,409600,0.00%,819200,0.09%,0,0.00%,1x512x20x20,1x512x20x20
Add_1064,1x1,0.00%,0.00%,204800,0.00%,819200,0.09%,0,0.00%,1x512x20x20,1x512x20x20
Clip_1067,1x1,0.00%,0.00%,409600,0.00%,819200,0.09%,0,0.00%,1x512x20x20,1x512x20x20
Mul_1068,1x1,0.00%,0.00%,204800,0.00%,819200,0.09%,0,0.00%,1x512x20x20,1x512x20x20
Div_1070,1x1,0.00%,0.00%,409600,0.00%,819200,0.09%,0,0.00%,1x512x20x20,1x512x20x20
QuantizeLinear_1073,1x1,0.00%,0.00%,409600,0.00%,819200,0.09%,0,0.00%,1x512x20x20,1x512x20x20
Conv_1083_quant,4x1,66.70%,66.70%,52531200,0.60%,934912,0.11%,131328,1.81%,1x512x20x20,1x256x20x20
DequantizeLinear_1091,1x1,0.00%,0.00%,204800,0.00%,409600,0.05%,0,0.00%,1x256x20x20,1x256x20x20
Add_1093,1x1,0.00%,0.00%,102400,0.00%,409600,0.05%,0,0.00%,1x256x20x20,1x256x20x20
Clip_1096,1x1,0.00%,0.00%,204800,0.00%,409600,0.05%,0,0.00%,1x256x20x20,1x256x20x20
Mul_1097,1x1,0.00%,0.00%,102400,0.00%,409600,0.05%,0,0.00%,1x256x20x20,1x256x20x20
Div_1099,1x1,0.00%,0.00%,204800,0.00%,409600,0.05%,0,0.00%,1x256x20x20,1x256x20x20
Resize_1101,1x1,0.00%,0.00%,0,0.00%,1638416,0.19%,4,0.00%,1x256x20x20,1x256x40x40
Concat_1102,1x1,0.00%,0.00%,0,0.00%,3276800,0.37%,0,0.00%,1x256x40x40,1x512x40x40
QuantizeLinear_1105,1x1,0.00%,0.00%,1638400,0.02%,3276800,0.37%,0,0.00%,1x512x40x40,1x512x40x40
Conv_1115_quant,4x1,66.60%,66.60%,105062400,1.19%,1081856,0.12%,65664,0.90%,1x512x40x40,1x128x40x40
Conv_1202_quant,4x1,66.07%,66.07%,105062400,1.19%,1081856,0.12%,65664,0.90%,1x512x40x40,1x128x40x40
DequantizeLinear_1123,1x1,0.00%,0.00%,409600,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
DequantizeLinear_1210,1x1,0.00%,0.00%,409600,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Add_1125,1x1,0.00%,0.00%,204800,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Add_1212,1x1,0.00%,0.00%,204800,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Clip_1128,1x1,0.00%,0.00%,409600,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Clip_1215,1x1,0.00%,0.00%,409600,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Mul_1129,1x1,0.00%,0.00%,204800,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Mul_1216,1x1,0.00%,0.00%,204800,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Div_1131,1x1,0.00%,0.00%,409600,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Div_1218,1x1,0.00%,0.00%,409600,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
QuantizeLinear_1134,1x1,0.00%,0.00%,409600,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Conv_1144_quant,4x1,51.90%,51.90%,26419200,0.30%,885248,0.10%,16512,0.23%,1x128x40x40,1x128x40x40
DequantizeLinear_1152,1x1,0.00%,0.00%,409600,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Add_1154,1x1,0.00%,0.00%,204800,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Clip_1157,1x1,0.00%,0.00%,409600,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Mul_1158,1x1,0.00%,0.00%,204800,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Div_1160,1x1,0.00%,0.00%,409600,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
QuantizeLinear_1163,1x1,0.00%,0.00%,409600,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Conv_1173_quant,4x1,76.07%,76.07%,236134400,2.67%,1409536,0.16%,147584,2.03%,1x128x40x40,1x128x40x40
DequantizeLinear_1181,1x1,0.00%,0.00%,409600,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Add_1183,1x1,0.00%,0.00%,204800,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Clip_1186,1x1,0.00%,0.00%,409600,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Mul_1187,1x1,0.00%,0.00%,204800,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Div_1189,1x1,0.00%,0.00%,409600,0.00%,819200,0.09%,0,0.00%,1x128x40x40,1x128x40x40
Concat_1219,1x1,0.00%,0.00%,0,0.00%,1638400,0.19%,0,0.00%,1x128x40x40,1x256x40x40
QuantizeLinear_1222,1x1,0.00%,0.00%,819200,0.01%,1638400,0.19%,0,0.00%,1x256x40x40,1x256x40x40
Conv_1232_quant,4x1,65.75%,65.75%,105267200,1.19%,1901568,0.22%,65792,0.91%,1x256x40x40,1x256x40x40
DequantizeLinear_1240,1x1,0.00%,0.00%,819200,0.01%,1638400,0.19%,0,0.00%,1x256x40x40,1x256x40x40
Add_1242,1x1,0.00%,0.00%,409600,0.00%,1638400,0.19%,0,0.00%,1x256x40x40,1x256x40x40
Clip_1245,1x1,0.00%,0.00%,819200,0.01%,1638400,0.19%,0,0.00%,1x256x40x40,1x256x40x40
Mul_1246,1x1,0.00%,0.00%,409600,0.00%,1638400,0.19%,0,0.00%,1x256x40x40,1x256x40x40
Div_1248,1x1,0.00%,0.00%,819200,0.01%,1638400,0.19%,0,0.00%,1x256x40x40,1x256x40x40
QuantizeLinear_1251,1x1,0.00%,0.00%,819200,0.01%,1638400,0.19%,0,0.00%,1x256x40x40,1x256x40x40
Conv_1261_quant,4x1,66.73%,66.73%,52633600,0.60%,950784,0.11%,32896,0.45%,1x256x40x40,1x128x40x40
